"מס""ד",שם התחנה      (לחיצה על השם מקשרת לדף התחנה),שם לועזי,קואורדינטות ברשת ישראל החדשה,,קואורדינטות גיאוגרפיות,,גובה מעל פני הים (מטר),תאריך פתיחה,משתנים,דגם סוכה,הצבת  המכשור (בסוגריים הצבת מד הרוח אם אינו צמוד לסוכה),גובה מד הרוח (מטר),תמצית הערות - מצאי נתונים
,,,מזרח,צפון,אורך גיאוגרפי E,רוחב גיאוגרפי N,,,,,,,
1,כפר גלעדי,KEFAR GILADI,253490,793950,35.5696?,33.2404?,365,23/09/2007,"גשם, טמפ', רוח, לחות",4,קרקע,10,
2,דפנה ,DAFNA,259600,792550,35.6350?,33.2277?,135,22/03/2010,"גשם, טמפ', רוח, לחות",4,קרקע,10,
3,כפר בלום,KEFAR BLUM,257590,786320,35.6133?,33.1716?,75,27/06/2005,"גשם, טמפ', רוח, לחות",סטיבנסון,קרקע (על גג מקלט),10,
4,מרום גולן פיכמן,MEROM GOLAN PICMAN,275450,781650,35.8045?,33.1288?,945,21/12/1997,"גשם, טמפ', רוח, לחות, קרינה",4,קרקע,10,קרינה גלובלית החלה להמדד באוגוסט 1998. חוסר נתונים קל ב-1998 ו-2008
5,ראש הנקרה,ROSH HANIQRA,210430,776160,35.1079?,33.0806?,10,12/08/2003,"גשם, טמפ', רוח, לחות",6,קרקע,10,מיעוט נתוני גשם בשנים 2007-2004 וחוסר משמעותי של נתוני לחות בשנים 2011-2009 
6,אילון,ELON,220660,774470,35.2173?,33.0653?,300,14/12/1998,"גשם, טמפ', רוח, לחות",סטיבנסון,קרקע,10,חוסר נתונים קל בשנים 2001-1999. מיעוט נתוני גשם בשנים 2001 ו-2002
7,איילת השחר,AYYELET HASHAHAR,253940,769980,35.5735?,33.0244?,170,13/10/2010,"גשם, טמפ', לחות",6,קרקע,אין,
8,שבי ציון,SHAVE ZIYYON,208980,765390,35.0923?,32.9836?,5,09/09/2009,"גשם, טמפ', רוח, לחות",4,קרקע,10,אין נתוני לחות בין אמצע פברואר לסוף מאי 2011
9,צפת הר כנען,ZEFAT HAR KENAAN,247740,765030,35.5070?,32.9800?,936,19/05/1999,"גשם, טמפ', רוח, לחות,לחץ",סטיבנסון,קרקע,30,
10,חרשים,HARASHIM,231070,762330,35.3287?,32.9560?,830,10/09/2008,"גשם, טמפ',לחות",4,גג קומה אחת,אין,
11,עמיעד,AMMIAD,248360,757830,35.5135?,32.9150?,215,29/03/2004,"גשם, טמפ', רוח, לחות",4,קרקע,10,"אין נתוני גשם מהחודשים ינואר-פברואר 2006 ,מד הרוח פורק בפברואר 2015"
12,גמלא,GAMLA,270380,756840,35.7487?,32.9052?,405,21/03/2007,"גשם, טמפ', רוח, לחות",סטיבנסון,קרקע,10,
13,אשחר,ESHHAR,228530,754390,35.3015?,32.8844?,370,10/10/2005,"גשם, טמפ', רוח, לחות",4, קרקע (גג קומה אחת),10,
14,כפר נחום,KEFAR NAHUM,254520,754360,35.5792?,32.8835?,-200,17/07/2007,"גשם, טמפ', רוח, לחות,לחץ",6,קרקע,10,מתאריך:01.10.2013 יש מדידת לחץ
15,בית ציידא,BET ZAYDA,261180,753990,35.6504?,32.8800?,-200,01/01/1996,"גשם, טמפ', רוח, לחות",6,קרקע,10,חוסר נתונים קל ב-2011
16,דיר חנא,DEIR HANNA,235330,751930,35.3741?,32.8621?,280,18/12/2002,"גשם, טמפ', רוח, לחות",6, גג 2 קומות,10,אין נתונים מיולי ועד אמצע אוקטובר 2006 ובין ספטמבר לאמצע אוקטובר 2007. מד הרוח פורק בתאריך:20.05.2015
17,אפק,AFEQ,210840,750200,35.1123?,32.8466?,10,21/10/1999,"גשם, טמפ', רוח, לחות,לחץ",4,קרקע,10,מיעוט נתוני לחות ב-2010.
18,חיפה נמל,HAIFA PORT,200090,748190,34.9977?,32.8283?,10,13/01/1999,"גשם, טמפ', רוח, לחות,לחץ",4,גג 3 קומות,5,התחנה נסגרה ביוני 2011.
19,לב כנרת,LEV KINERET,257000,747500,35.6053?,32.8214?,-213~,27/11/2003,"גשם, טמפ', רוח, לחות",4,אסדה ,5,התחנה על גבי אסדה וגובהה מעל פני הים משתנה לפי מפלס הכנרת. מדידת גשם בחסר עקב רוח חזקה והיעדר פילוס (תנודות האסדה). משקפת תנאים יחודיים ללב האגם ולא את חופיו 
20,אבני איתן,AVNE ETAN,271680,747090,35.7622?,32.8174?,375,30/06/1993,"גשם, טמפ', רוח, לחות",סטיבנסון,קרקע,10,
21,"חיפה בז""ן",HAIFA REFINERIES,205450,745420,35.0548?,32.8034?,5,01/03/1990,"גשם, טמפ', רוח, לחות",4,קרקע,60,הרוח נמדדת בגובה 60 מטרים. 
22,חיפה טכניון,HAIFA TECHNION,202390,742120,35.0223?,32.7736?,245,01/01/1993,"גשם, טמפ', רוח, לחות, קרינה",4,גג 5 קומות,10,"גשם החל להמדד ב-2007. יש מדידה של קרינה גלובלית, קרינה מפוזרת, קרינה ישירה.בתאריך:06.08.2014 פורק מד הרוח"
23,חיפה אוניברסיטה,HAIFA UNIVERSITY,202240,740730,35.0208?,32.7611?,475,01/01/1994,"גשם, טמפ', רוח, לחות",6, גג 3 קומות ויותר,10,
24,נווה יער,NEWE YAAR,217010,734820,35.1784?,32.7078?,115,27/03/2005,"גשם, טמפ', רוח, לחות",6, גג 2 קומות,10,
25,תבור  כדורי,TAVOR KADOORIE,238440,734540,35.4069?,32.7053?,145,01/01/1992,"גשם, טמפ', רוח, לחות, קרינה",סטיבנסון,קרקע,10,
26,צמח,ZEMAH,255030,734270,35.5839?,32.7024?,-200,01/01/1994,"גשם, טמפ', רוח, לחות, קרינה",סטיבנסון,קרקע,18,חוסר נתונים קל ב-2009.
27,יבנאל,YAVNEEL,248110,733730,35.5101?,32.6978?,0,02/07/1996,"גשם, טמפ', רוח, לחות",6,קרקע,10,
28,מסדה,MASSADA,256610,732150,35.6008?,32.6833?,-200,23/12/2010,"גשם, טמפ', לחות",6,קרקע,אין,
29,עין כרמל,EN KARMEL,196480,731830,34.9594?,32.6808?,25,30/03/1992,"גשם, טמפ', רוח, לחות",6,קרקע,10,
30,מרחביה,MERHAVYA,229120,723160,35.3075?,32.6028?,60,15/04/2008,"גשם, טמפ', לחות",סטיבנסון,קרקע,אין,
31,עין השופט,EN HASHOFET,209310,723170,35.0964?,32.6028?,265,18/11/1996,"גשם, טמפ', רוח, לחות, קרינה",6,קרקע,10,
32,עפולה ניר העמק,AFULA NIR HAEMEQ,226260,722410,35.2769?,32.5960?,60,01/11/1994,"גשם, טמפ', רוח, לחות",סטיבנסון,קרקע,10,
33,זכרון יעקב,ZIKHRON YAAQOV,195990,719810,34.9546?,32.5724?,175,01/01/1989,"גשם, טמפ', רוח, לחות",6, גג קומה אחת,10,בין ינואר 2008 ליוני 2010 אין נתוני רוח.
34,גלעד ,GALED,207060,718020,35.0725?,32.5564?,180,30/03/2008,"גשם, טמפ', לחות",6,קרקע,אין,
35,תל יוסף,TEL YOSEF,237080,716830,35.3945?,32.5462?,-65,03/04/1994,"גשם, טמפ', רוח, לחות",6,קרקע,10,"התחנה המקורית  בנ.צ.237310,717030 נסגרה באוגוסט 2006  בנובמבר 2007 נפתחה תחנה חלופית בנ.צ 237090,716830 ונסגרה ב-3.8.2014. התחנה הוקמה מחדש בדצמבר 2014 במיקומה הנוכחי. לא חל שינוי בגובה התחנה"
36,מעלה גלבוע,MAALE GILBOA,239230,709670,35.4150?,32.4810?,495,05/02/2007,"גשם, טמפ', רוח, לחות",4,קרקע,10,
37,חדרה נמל,HADERA PORT,189090,708830,34.8815?,32.4732?,5,01/01/1990,"גשם, טמפ', רוח, לחות",סטיבנסון,קרקע,5,גשם החל להמדד בתחנה ב-14.2.2006.מהקמת התחנה ועד 17.06.2015 גובה תורן מד הרוח היה 5 מטרים. מהקמת התחנה ועד 20.02.2012 הטמפרטורה נמדדה בסוכה דגם 4.
38,חוות עדן,EDEN FARM,246190,708240,35.4888?,32.4679?,-120,18/02/1993,"גשם, טמפ', רוח, לחות, קרינה",סטיבנסון,קרקע,10,
39,שדה אליהו,SEDE ELIYYAHU,248250,705030,35.5106?,32.4390?,-185,24/01/2011,"גשם, טמפ', לחות",6,קרקע,אין,
40,עין החורש,EN HAHORESH,194330,699330,34.9376?,32.3877?,15,28/08/2003,"גשם, טמפ', לחות",6,קרקע,אין,
41,קרני שומרון,QARNE SHOMERON,209220,675740,35.0959?,32.1752?,330,01/05/1999,"גשם, טמפ', רוח, לחות",4, גג 3 קומות,10,מהקמת התחנה ועד 26.02.2014 גובה תורן מד הרוח היה 6 מטרים
42,איתמר,ITAMAR,233320,674050,35.3513?,32.1598?,820,05/01/2002,"גשם, טמפ', רוח, לחות",4,קרקע,10,"בתאריך 02.04.2014 התחנה הוזזה כ-120 מטרים מערבה. מיקום קודם: 233450,674020. לא חל שינוי בגובה."
43,הכפר הירוק,HAKFAR HAYAROK,184350,670790,34.8324?,32.1300?,65,07/03/1996,"גשם, טמפ', לחות",4,גג 2 קומות ,10,רזולוצית הזמן של הנתונים משתנה  עם הזמן מחצי שעתית ועד חמש דקתית. אין מדידה של טמפרטורה דקתית 
44,שערי תקוה,SHAARE TIQWA,202570,670270,35.0254?,32.1257?,195,06/10/2008,"גשם, טמפ', רוח, לחות",4,קרקע,10,
45,אריאל,ARIEL,220110,668020,35.2114?,32.1056?,685,02/01/1995,"גשם, טמפ', רוח, לחות",4,גג 3 קומות,10,
46,תל אביב חוף,TEL AVIV COAST,177380,662840,34.7588?,32.0580?,10,02/03/2005,"גשם, טמפ', רוח, לחות",4,גג 2 קומות,10,
47,בית דגן,BET DAGAN,182550,657190,34.8138?,32.0073?,31,08/03/1992,"גשם, טמפ', רוח, לחות, קרינה,לחץ",סטיבנסון,קרקע,20,
48,גלגל,GILGAL,242740,656040,35.4509?,31.9973?,-255,01/01/1991,"גשם, טמפ', רוח, לחות",סטיבנסון,קרקע,10,
49,הר חרשה,HAR HARASHA,214290,650210,35.1499?,31.9449?,770,05/10/2001,"גשם, טמפ', רוח, לחות",4,קרקע,10,
50,אשדוד נמל,ASHDOD PORT,165800,638080,34.6377?,31.8342?,5,09/07/1998,"גשם, טמפ', רוח, לחות",4,קרקע (חומה 3.5 מ'),10,אין מדידת רוח מה-02.09.2012
51,נחשון,NAHSHON,196460,637940,34.9616?,31.8341?,180,13/12/2007,"גשם, טמפ', רוח, לחות",4,קרקע,10,חוסר בנתונים ב-2008.
52,קבוצת יבנה,QEVUZAT YAVNE,174000,636080,34.7244?,31.8166?,50,19/06/1998,"גשם, טמפ', לחות",סטיבנסון,קרקע,אין,
53,בית הערבה,BET HAARAVA,247540,634760,35.5010?,31.8052?,-330,25/04/2007,"גשם, טמפ', רוח, לחות",4,קרקע,10,
54,חפץ חיים,HAFEZ HAYYIM,181630,633200,34.8050?,31.7910?,80,15/03/2004,"גשם, טמפ', רוח, לחות",4,קרקע,10,
55,צובה,ZOVA,212000,632780,35.1258?,31.7878?,710,18/09/1998,"גשם, טמפ', רוח, לחות",4,קרקע,10,
56,ירושלים מרכז,JERUSALEM CENTRE,221080,631980,35.2217?,31.7806?,810,01/01/1993,"גשם, טמפ', רוח, לחות,לחץ",סטיבנסון,גג 5 קומות (גג 6 קומות),10,
57,מעלה אדומים,MAALE ADUMMIM,228130,631250,35.2961?,31.7740?,490,25/12/2006,"גשם, טמפ', רוח, לחות",4,גג 3 קומות,10,
58,ירושלים גבעת רם,JERUSALEM GIVAT RAM,218770,630850,35.1973?,31.7704?,770,02/01/1990,"גשם, טמפ', רוח, לחות, קרינה",4,גג 4 קומות,10,
59,ניצן,NIZZAN,165470,626720,34.6348?,31.7319?,30,17/12/2008,"גשם, טמפ', רוח, לחות",4,קרקע,10,אין נתוני לחות מסתיו 2009  ומרבית חודש פברואר 2011.
60,בית ג'ימל,BEIT JIMAL,197830,625830,34.9762?,31.7248?,355,23/03/1998,"גשם, טמפ', לחות",סטיבנסון,קרקע,אין,
61,"נתיב הל""ה",NETIV HALAMED HE,197640,621940,34.9744?,31.6898?,275,01/01/1994,"גשם, טמפ', רוח, לחות",6,קרקע,10,
62,ראש צורים,ROSH ZURIM,211770,619110,35.1233?,31.6644?,950,30/12/1999,"גשם, טמפ', רוח, לחות",4,קרקע,6,
63,נגבה,NEGBA,169690,618560,34.6798?,31.6585?,95,05/05/2001,"גשם, טמפ', רוח, לחות, קרינה",4,קרקע,10,"חוסר של חלק מנתוני הקרינה בשנים 2007,2006 ו-2009."
64,אשקלון נמל,ASHQELON PORT,154680,616550,34.5215?,31.6394?,5,23/01/2006,"גשם, טמפ', רוח, לחות",4,קרקע,10,חוסר של חלק מנתוני הגשם והלחות ב-2007. 
65,גת,GAT,180270,615390,34.7913?,31.6303?,140,13/08/2007,"גשם, טמפ', לחות",4,קרקע,אין,חוסר נתוני לחות בסתיו 2009. 
66,מצוקי דרגות,METZOKE DRAGOT,237230,610660,35.3916?,31.5881?,20,03/06/2006,"גשם, טמפ', רוח, לחות",4,קרקע,10,חוסר נתונים באפריל 2011.
67,דורות,DOROT,166600,601390,34.6480?,31.5036?,115,01/01/2003,"גשם, טמפ', רוח, לחות, קרינה",4,קרקע,10,
68,עין גדי,EN GEDI,236830,592030,35.3871?,31.4200?,-415,22/08/2006,"גשם, טמפ', רוח, לחות",4,קרקע,10,
69,להב,LAHAV,187910,587750,34.8729?,31.3812?,460,16/06/2010,"גשם, טמפ', לחות",6,קרקע,אין,
70,שני,SHANI,206300,585000,35.0662?,31.3568?,700,01/01/1996,"גשם, טמפ', רוח, לחות",4,קרקע,19,
71,"בשור, חווה",BESOR FARM,141830,575830,34.3894?,31.2716?,110,27/06/1990,"גשם, טמפ', רוח, לחות, קרינה",סטיבנסון,קרקע,10,
72,באר שבע,BEER SHEVA,180880,573390,34.7995?,31.2515?,279,31/08/1991,"גשם, טמפ', רוח, לחות, קרינה,לחץ",סטיבנסון,קרקע,19,"הקרינה נמדדת באוניברסיטת בן גוריון בנ.צ. 181340, 574670 בגובה 315 מ'. עד 26.03.2014 גובה תורן מד הרוח היה 24 מטר"
73,ערד,ARAD,217650,573140,35.1855?,31.2500?,564,01/01/1991,"גשם, טמפ', רוח, לחות, קרינה",6,קרקע,10,נתוני קרינה נמדדו עד אוקטובר 2010.
74,נבטים,NEVATIM,192600,568200,34.9227?,31.2050?,350,28/04/2010,"גשם, טמפ', רוח, לחות",4,קרקע,10,"התחנה נמצאת בביה""ס ""נווה מדבר"" של הפזורה הבדואית כ-4 ק""מ ממזרח ליישוב נבטים"
75,צומת הנגב,ZOMET HANEGEV,185730,553360,34.8513?,31.0708?,360,23/11/2003,"גשם, טמפ', רוח, לחות",6,קרקע,10,"חוסר של חלק מהנתונים בחורף 2006/7, בפרט נתוני גשם."
76,סדום,SEDOM,237320,548850,35.3919?,31.0306?,-388,01/01/1991,"גשם, טמפ', רוח, לחות, קרינה,לחץ",סטיבנסון,קרקע,10,מדידת הלחץ החלה במאי 2012. מחודש אוקטובר 2013 החל פירוק מכשירי הקרינה.
77,שדה בוקר ,SEDE BOQER,180300,531140,34.7950?,30.8702?,475,30/10/2002,"גשם, טמפ', רוח, לחות, קרינה",סטיבנסון,קרקע,10," מדידות הקרינה בוצעו במדרשת שדה בוקר בנ.צ. 178940,529690 בגובה 475 מ' מעפ""י מחודש יוני 2014 נאגרים נתוני הקרינה הגלובלית בלבד שנמדדים בנ.צ. 178810,529980 בגובה זהה."
78,עזוז,EZUZ,149320,522510,34.4715?,30.7911?,335,01/03/2009,"גשם, טמפ', רוח, לחות",4,קרקע,10,
79,עבדת,AVDAT,177980,521980,34.7712?,30.7877?,555,26/09/2008,"גשם, טמפ', רוח, לחות",4,קרקע,10,
80,חצבה,HAZEVA,222760,520910,35.2389?,30.7787?,-135,01/02/1994,"גשם, טמפ', רוח, לחות",6,קרקע,10,גשם החל להמדד ב-2009. מהקמת התחנה ועד 23.12.2008 גובה תורן מד הרוח היה 6~7 מטר.
81,מצפה רמון,MIZPE RAMON,181100,502260,34.8046?,30.6101?,845,17/02/1998,"גשם, טמפ', רוח, לחות",4,קרקע,10," מדידת הקרינה פסקה ב-2009. בספטמבר 2012 נסגרה התחנה במיקומה הישן על גג מבנה בנ.צ. 180650,502540 ובתאריך 03.12.2014 הוקמה במיקום חדש.במיקומה הנוכחי"
82,פארן,PARAN,214030,475090,35.1479?,30.3655?,100,06/06/1993,"גשם, טמפ', רוח, לחות",4,קרקע,10,"התחנה פעלה עד דצמבר 2005 במיקום שונה בנ.צ. 215080,475560, אך בשל סמיכותה לחממות הועתקה  בינואר 2006 למיקומה הנוכחי"
83,נאות סמדר,NEOT SMADAR,201990,439900,35.0233?,30.0480?,400,18/06/2007,"גשם, טמפ', רוח, לחות",4,קרקע,10,חוסר בחלק מנתוני הגשם בשנים 2010-2011.
84,יטבתה,YOTVATA,207160,421850,35.0771?,29.8851?,70,01/01/1990,"גשם, טמפ', רוח, לחות, קרינה",6,קרקע,10,גשם החל להמדד בעונת  2007/8 .
85,אילת,ELAT,195000,385010,34.9520?,29.5526?,22,29/11/1998,"גשם, טמפ', רוח, לחות, קרינה,לחץ",סטיבנסון,קרקע,10,התחנה נסגרה בהדרגה כמעט מכל עבריה במבנים וצמחיה. כתוצאה מכך הרוח נמדדת בחסר משמעותי ומדידת יתר המשתנים מופרת גם כן.
,,,,,,,,,,,,,
,עודכן לאחרונה  ב-17/7/2016,,,,,,,,,,,,
